feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,best_single_mae_among_pair_features,mae_improvement_over_best_single,pearson_f1_cp,pearson_f2_cp,spearman_f1_cp,spearman_f2_cp,pair_pearson_corr,pair_spearman_corr,pair_redundancy_flag,ig_pair,ig_pair_gain_over_best_single,ig_feature_1,ig_feature_2,ig_n_rows,skipped,skip_reason
molecular_weight,rotatable_bonds,elasticnet,198,33.18257775348244,3.9400859902464096,45.68765098735701,0.89164060473283,43.27999617938966,10.097418425907222,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
rotatable_bonds,logP,elasticnet,198,41.46300994066657,5.027939493606269,55.324209658648854,0.8404726857163496,43.27999617938966,1.8169862387230893,0.9186743672241442,0.7772973746635984,0.857004422556517,0.6826223255844466,0.7289432941992107,0.6030043110321045,False,0.934568544764937,0.14245326481275,0.792115279952187,0.40834526245874136,198,False,
rotatable_bonds,boiling_point,rf,198,41.602384798223376,6.202646365134862,57.55990029458056,0.8368325152977277,43.27999617938966,1.6776113811662867,0.9186743672241442,0.1373730264160619,0.857004422556517,0.5358102744246874,0.11120120324123856,0.3751396016412151,False,0.9198254713211732,0.1277101913689862,0.792115279952187,0.23872781589235248,198,False,
rotatable_bonds,H_bond_donors,elasticnet,198,43.5192409818716,5.06066807634765,58.943446349201906,0.8202375348077762,43.27999617938966,-0.23924480248193447,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
rotatable_bonds,TPSA,elasticnet,198,43.530243263705536,5.11469019544782,59.014140119165916,0.8199465252001826,43.27999617938966,-0.2502470843158733,0.9186743672241442,0.21875285968898114,0.857004422556517,0.22252892347644967,0.2302085372936698,0.27635165235044146,False,0.8436054080167044,0.05149012806451736,0.792115279952187,0.03937921506054454,198,False,
rotatable_bonds,H_bond_acceptors,elasticnet,198,43.64539077772341,5.219619044006213,58.970392879249424,0.8200389450727786,43.27999617938966,-0.36539459833374366,0.9186743672241442,0.28356957048634435,0.857004422556517,0.28897069740063147,0.28827993922051864,0.31008315864547964,False,0.8632362740901574,0.07112099413797035,0.792115279952187,0.05207864109597993,198,False,
rotatable_bonds,melting_point,elasticnet,198,43.74544014473096,4.638163219931065,59.38712457956984,0.8180870075148289,43.27999617938966,-0.4654439653413007,0.9186743672241442,-0.04911838477019179,0.857004422556517,0.17312100720536885,-0.07306824742052002,0.019464776785574917,False,0.9029431147804267,0.11082783482823966,0.792115279952187,0.06156896210398832,198,False,
TPSA,logP,linear,198,44.70495312687863,6.2161388978281575,60.941623764947536,0.8032568374293225,70.38379033922403,25.678837212345407,0.21875285968898114,0.7772973746635984,0.22252892347644967,0.6826223255844466,-0.30886507972072585,-0.3028863625448074,False,0.6434677103785111,0.23512244791976977,0.03937921506054454,0.40834526245874136,198,False,
molecular_weight,H_bond_acceptors,gbr,198,45.315879595164645,6.891169979380806,68.9186949728673,0.7555574052400406,50.547121290704766,5.23124169554012,0.8344647797898637,0.28356957048634435,0.8387825507550014,0.28897069740063147,0.26385159688510856,0.315168198728155,False,0.8236945051840103,0.12273208533005076,0.7009624198539596,0.05207864109597993,198,False,
molecular_weight,TPSA,rf,198,45.69165093000021,7.450557252153895,70.81500614516975,0.7476540187942831,50.547121290704766,4.855470360704558,0.8344647797898637,0.21875285968898114,0.8387825507550014,0.22252892347644967,0.1693248993820929,0.21691546677177267,False,0.8246475912273579,0.1236851713733983,0.7009624198539596,0.03937921506054454,198,False,
